Campaign_ID,Date,Platform,Audience_Segment,Ad_Creative_Name,Spend_USD,Impressions,Clicks,Conversions,Revenue_USD,CTR_Percent,CPA_USD,ROAS
CAMP_0001,2026-03-15,LinkedIn,College Students 18-24,Last Chance Alert,3193.96,9872,289,16,2231.54,2.94,197.45,0.7
CAMP_0002,2026-05-06,LinkedIn,Corporate Executives 40-55,Get Started Free,4864.59,17989,588,40,3072.33,3.27,121.14,0.63
CAMP_0003,2026-04-22,Google,Corporate Executives 40-55,New Product Launch,1810.53,15342,435,34,3205.54,2.84,52.51,1.77
CAMP_0004,2026-05-03,Google,Corporate Executives 40-55,Exclusive Deal,2221.08,19798,950,129,15669.44,4.8,17.18,7.05
CAMP_0005,2026-04-20,LinkedIn,Soccer Moms 35-45,Premium Features,4739.91,3689,11,0,2.08,0.32,39439.99,0.0
CAMP_0006,2026-02-25,LinkedIn,College Students 18-24,Last Chance Alert,654.75,18911,671,78,6877.65,3.55,8.38,10.5
CAMP_0007,2026-03-05,Google,Soccer Moms 35-45,Premium Features,1331.85,4908,21,0,14.64,0.43,2178.79,0.01
CAMP_0008,2026-03-15,LinkedIn,Corporate Executives 40-55,Black Friday Early,2843.75,19534,1380,172,18695.5,7.07,16.51,6.57
CAMP_0009,2026-02-27,Google,Tech Bros 25-34,New Product Launch,1833.23,9983,209,19,1844.09,2.09,94.98,1.01
CAMP_0010,2026-04-01,LinkedIn,Retirees 55-65,Exclusive Deal,3680.86,5187,17,0,1.43,0.33,35044.06,0.0
CAMP_0011,2026-04-04,LinkedIn,Tech Bros 25-34,Last Chance Alert,2522.53,9144,386,45,5416.16,4.22,55.86,2.15
CAMP_0012,2026-03-05,Google,Retirees 55-65,Exclusive Deal,2624.97,3358,10,0,2.7,0.31,15166.78,0.0
CAMP_0013,2026-04-12,LinkedIn,Retirees 55-65,New Product Launch,3697.98,3332,7,0,1.18,0.23,59644.36,0.0
CAMP_0014,2026-04-19,Meta,College Students 18-24,Get Started Free,1621.82,12924,844,61,4118.76,6.53,26.35,2.54
CAMP_0015,2026-05-14,LinkedIn,Corporate Executives 40-55,Limited Time Offer,3309.59,11547,304,29,2316.73,2.63,113.8,0.7
CAMP_0016,2026-05-07,Google,Corporate Executives 40-55,VIP Membership,1049.4,12275,913,70,8342.94,7.44,14.88,7.95
CAMP_0017,2026-03-15,Meta,Retirees 55-65,Black Friday Early,1240.95,4602,11,0,2.21,0.25,7139.71,0.0
CAMP_0018,2026-03-03,LinkedIn,Retirees 55-65,Join Our Community,1484.44,4674,10,0,0.77,0.22,24040.1,0.0
CAMP_0019,2026-04-14,Google,Soccer Moms 35-45,Exclusive Deal,1853.95,2854,6,0,2.68,0.21,13866.42,0.0
CAMP_0020,2026-04-28,LinkedIn,Young Professionals 30-40,Summer Sale Push,3354.58,16168,838,79,8722.14,5.19,42.21,2.6
CAMP_0021,2026-03-02,LinkedIn,Retirees 55-65,Last Chance Alert,1569.37,5184,10,0,2.58,0.21,9935.46,0.0
CAMP_0022,2026-03-10,LinkedIn,Tech Bros 25-34,New Product Launch,1943.51,10238,229,25,3033.0,2.24,77.52,1.56
CAMP_0023,2026-02-20,Google,Retirees 55-65,Exclusive Deal,2069.0,3288,12,0,2.09,0.38,15016.33,0.0
CAMP_0024,2026-05-20,LinkedIn,College Students 18-24,New Product Launch,1010.63,19096,1387,105,12553.44,7.26,9.61,12.42
CAMP_0025,2026-02-28,Meta,College Students 18-24,Summer Sale Push,1588.34,9117,673,94,11027.56,7.38,16.85,6.94
CAMP_0026,2026-05-05,Meta,Retirees 55-65,Exclusive Deal,3766.8,5691,20,0,5.71,0.37,10825.81,0.0
CAMP_0027,2026-03-09,Meta,College Students 18-24,Join Our Community,3510.45,14968,633,91,13473.09,4.23,38.47,3.84
CAMP_0028,2026-03-12,Google,Soccer Moms 35-45,Limited Time Offer,3613.53,3955,10,0,4.45,0.27,14096.89,0.0
CAMP_0029,2026-03-21,LinkedIn,Retirees 55-65,Summer Sale Push,1886.27,4627,11,0,2.13,0.25,11092.36,0.0
CAMP_0030,2026-04-24,Google,Corporate Executives 40-55,Exclusive Deal,4514.21,15573,1054,105,11829.42,6.77,42.71,2.62
CAMP_0031,2026-04-06,Meta,Young Professionals 30-40,Exclusive Deal,3074.02,17222,389,58,5955.05,2.26,52.81,1.94
CAMP_0032,2026-04-20,Meta,Corporate Executives 40-55,Exclusive Deal,3864.73,19436,774,81,9091.41,3.98,47.4,2.35
CAMP_0033,2026-04-14,Meta,College Students 18-24,Get Started Free,1359.1,11221,551,48,4594.64,4.91,28.26,3.38
CAMP_0034,2026-02-21,Google,Retirees 55-65,Last Chance Alert,816.87,3626,10,0,1.42,0.3,7200.95,0.0
CAMP_0035,2026-04-10,Google,Tech Bros 25-34,Last Chance Alert,3636.57,16429,682,54,7200.14,4.16,67.09,1.98
CAMP_0036,2026-03-05,Meta,Young Professionals 30-40,VIP Membership,523.33,15534,491,28,2687.3,3.17,18.64,5.13
CAMP_0037,2026-03-13,LinkedIn,College Students 18-24,Limited Time Offer,922.92,14939,331,31,3478.65,2.22,28.88,3.77
CAMP_0038,2026-02-27,Google,Soccer Moms 35-45,Join Our Community,1626.13,2116,6,0,2.33,0.29,12730.06,0.0
CAMP_0039,2026-03-31,Meta,College Students 18-24,Get Started Free,2557.69,18104,573,52,6423.44,3.17,48.96,2.51
CAMP_0040,2026-05-20,Meta,Soccer Moms 35-45,VIP Membership,1953.3,4385,12,0,3.66,0.28,8432.78,0.0
CAMP_0041,2026-04-08,Meta,Corporate Executives 40-55,Black Friday Early,2427.42,16261,382,54,5396.23,2.35,44.9,2.22
CAMP_0042,2026-04-27,Meta,Young Professionals 30-40,Get Started Free,3372.22,14200,843,78,9925.5,5.94,42.71,2.94
CAMP_0043,2026-04-22,Google,Retirees 55-65,Get Started Free,1040.74,4025,5,0,0.43,0.13,31611.48,0.0
CAMP_0044,2026-03-01,Meta,College Students 18-24,VIP Membership,3935.14,17682,721,69,8241.53,4.08,56.57,2.09
CAMP_0045,2026-04-29,Google,Young Professionals 30-40,Premium Features,703.87,12495,719,72,9889.01,5.76,9.76,14.05
CAMP_0046,2026-03-03,Meta,College Students 18-24,Last Chance Alert,4747.51,19331,1392,158,20901.01,7.2,30.0,4.4
CAMP_0047,2026-05-04,Google,Retirees 55-65,Summer Sale Push,2562.14,4636,17,0,3.75,0.38,13388.54,0.0
CAMP_0048,2026-05-04,LinkedIn,College Students 18-24,Limited Time Offer,675.33,15419,619,71,6781.86,4.02,9.43,10.04
CAMP_0049,2026-03-27,Google,Corporate Executives 40-55,Limited Time Offer,1673.13,13952,859,72,10516.55,6.16,22.96,6.29
CAMP_0050,2026-03-27,Meta,Young Professionals 30-40,New Product Launch,2965.87,13081,707,76,9584.71,5.41,38.94,3.23
CAMP_0051,2026-03-14,Google,Tech Bros 25-34,Black Friday Early,3112.45,18405,988,73,8848.64,5.37,42.63,2.84
CAMP_0052,2026-03-10,Meta,Retirees 55-65,New Product Launch,2199.78,4602,11,0,1.61,0.25,17700.9,0.0
CAMP_0053,2026-03-07,Meta,College Students 18-24,New Product Launch,4312.14,12258,948,111,11549.45,7.74,38.62,2.68
CAMP_0054,2026-03-30,Meta,Young Professionals 30-40,Exclusive Deal,3210.98,14644,479,69,9042.57,3.28,46.27,2.82
CAMP_0055,2026-05-05,Meta,Young Professionals 30-40,VIP Membership,4884.12,19951,465,57,6289.75,2.34,84.74,1.29
CAMP_0056,2026-04-02,Google,College Students 18-24,New Product Launch,3926.8,15418,401,23,2889.67,2.61,167.26,0.74
CAMP_0057,2026-05-16,Meta,Soccer Moms 35-45,VIP Membership,1159.72,3539,9,0,4.88,0.27,5611.28,0.0
CAMP_0058,2026-05-04,Meta,Tech Bros 25-34,Premium Features,2075.98,16498,806,70,8744.82,4.89,29.31,4.21
CAMP_0059,2026-05-02,Google,Retirees 55-65,Black Friday Early,2455.03,3761,8,0,1.97,0.22,21707.47,0.0
CAMP_0060,2026-04-16,Meta,Tech Bros 25-34,Black Friday Early,3857.2,15000,1165,102,8743.6,7.77,37.81,2.27
CAMP_0061,2026-05-15,Meta,Corporate Executives 40-55,Get Started Free,4834.5,8145,636,34,4850.51,7.82,139.74,1.0
CAMP_0062,2026-03-06,LinkedIn,College Students 18-24,Get Started Free,1638.46,16344,400,26,2123.55,2.45,61.35,1.3
CAMP_0063,2026-03-07,LinkedIn,Tech Bros 25-34,Get Started Free,3636.16,12610,809,114,16767.56,6.42,31.72,4.61
CAMP_0064,2026-04-10,Google,College Students 18-24,Last Chance Alert,3290.6,11328,354,34,3135.7,3.13,96.34,0.95
CAMP_0065,2026-03-20,Meta,Tech Bros 25-34,Premium Features,4937.95,16377,854,69,9215.45,5.22,71.4,1.87
CAMP_0066,2026-04-16,Meta,Corporate Executives 40-55,Exclusive Deal,4201.42,19397,1232,137,13400.16,6.35,30.61,3.19
CAMP_0067,2026-05-15,Google,Soccer Moms 35-45,Get Started Free,618.65,3129,13,0,6.81,0.44,1499.68,0.01
CAMP_0068,2026-03-12,Google,Tech Bros 25-34,Join Our Community,4231.24,14828,353,18,1365.61,2.38,223.23,0.32
CAMP_0069,2026-05-04,LinkedIn,Corporate Executives 40-55,Summer Sale Push,2904.56,16998,1271,137,17293.45,7.48,21.05,5.95
CAMP_0070,2026-04-25,Google,Retirees 55-65,Summer Sale Push,1584.88,3615,6,0,0.7,0.18,27398.09,0.0
CAMP_0071,2026-04-25,Meta,Soccer Moms 35-45,Last Chance Alert,599.83,3494,11,0,5.77,0.34,1880.16,0.01
CAMP_0072,2026-05-15,Google,College Students 18-24,Get Started Free,897.84,17501,969,95,9297.61,5.54,9.45,10.36
CAMP_0073,2026-05-09,Google,Soccer Moms 35-45,Exclusive Deal,4564.18,3851,19,0,9.01,0.49,10820.49,0.0
CAMP_0074,2026-04-11,LinkedIn,Retirees 55-65,Limited Time Offer,2067.15,4541,15,0,2.7,0.34,12405.61,0.0
CAMP_0075,2026-02-25,Meta,Young Professionals 30-40,Premium Features,2567.06,18105,1197,67,4347.85,6.61,37.86,1.69
CAMP_0076,2026-02-23,Meta,Soccer Moms 35-45,Exclusive Deal,2917.69,3380,12,0,5.02,0.38,12768.2,0.0
CAMP_0077,2026-05-12,Meta,Retirees 55-65,Exclusive Deal,2818.56,5919,16,0,2.53,0.28,20305.27,0.0
CAMP_0078,2026-05-08,Google,Young Professionals 30-40,Join Our Community,899.16,9447,450,31,2950.12,4.76,28.28,3.28
CAMP_0079,2026-04-08,Google,Young Professionals 30-40,New Product Launch,915.31,13773,843,85,6328.41,6.13,10.72,6.91
CAMP_0080,2026-04-16,Meta,Tech Bros 25-34,VIP Membership,4407.35,9014,503,74,8101.06,5.58,58.92,1.84
CAMP_0081,2026-02-26,Google,Corporate Executives 40-55,VIP Membership,3919.8,14375,908,51,3746.51,6.32,76.69,0.96
CAMP_0082,2026-05-04,LinkedIn,Corporate Executives 40-55,Limited Time Offer,2513.36,14391,497,38,3593.48,3.45,65.71,1.43
CAMP_0083,2026-04-28,LinkedIn,Tech Bros 25-34,Summer Sale Push,1451.52,11929,324,45,5115.19,2.72,32.19,3.52
CAMP_0084,2026-05-13,Google,Retirees 55-65,New Product Launch,2742.99,3260,8,0,2.05,0.26,23339.08,0.0
CAMP_0085,2026-03-24,Google,Tech Bros 25-34,Get Started Free,2133.87,15751,854,73,10883.48,5.42,29.17,5.1
CAMP_0086,2026-03-15,Meta,Corporate Executives 40-55,Get Started Free,1187.87,10951,324,22,1909.05,2.96,53.3,1.61
CAMP_0087,2026-05-14,LinkedIn,Tech Bros 25-34,Black Friday Early,732.36,8218,508,76,10702.9,6.18,9.63,14.61
CAMP_0088,2026-05-05,LinkedIn,College Students 18-24,Join Our Community,4887.8,13888,880,116,14493.34,6.34,42.04,2.97
CAMP_0089,2026-04-07,Google,Retirees 55-65,Get Started Free,1341.7,3971,9,0,1.42,0.23,11766.87,0.0
CAMP_0090,2026-04-10,Meta,Soccer Moms 35-45,Join Our Community,3115.57,2463,8,0,2.72,0.34,17787.3,0.0
CAMP_0091,2026-05-03,Google,Young Professionals 30-40,Black Friday Early,2970.15,10420,636,37,2712.32,6.11,79.39,0.91
CAMP_0092,2026-04-10,Meta,Tech Bros 25-34,Last Chance Alert,3227.46,17531,462,62,7948.71,2.64,51.62,2.46
CAMP_0093,2026-04-20,Google,Young Professionals 30-40,Last Chance Alert,4959.18,10460,447,63,7970.35,4.28,77.74,1.61
CAMP_0094,2026-05-08,Meta,Retirees 55-65,New Product Launch,3877.26,5398,18,0,1.81,0.35,26507.1,0.0
CAMP_0095,2026-03-23,Google,Corporate Executives 40-55,Premium Features,1922.88,15059,918,87,10861.05,6.1,22.0,5.65
CAMP_0096,2026-04-26,LinkedIn,Young Professionals 30-40,Join Our Community,2929.01,13264,724,62,5905.11,5.46,47.24,2.02
CAMP_0097,2026-04-02,Google,Young Professionals 30-40,Last Chance Alert,1530.61,14514,666,55,6975.6,4.59,27.59,4.56
CAMP_0098,2026-03-18,LinkedIn,Young Professionals 30-40,Summer Sale Push,2900.57,18726,1260,82,7233.75,6.73,35.31,2.49
CAMP_0099,2026-03-22,LinkedIn,Tech Bros 25-34,Premium Features,3064.5,17149,1245,104,14041.1,7.26,29.23,4.58
CAMP_0100,2026-04-05,LinkedIn,College Students 18-24,Last Chance Alert,3217.81,14027,734,72,7017.42,5.24,44.39,2.18
CAMP_0101,2026-05-04,Google,Retirees 55-65,Exclusive Deal,3622.77,4628,8,0,0.98,0.18,43780.0,0.0
CAMP_0102,2026-05-12,Google,Corporate Executives 40-55,Last Chance Alert,2406.19,11455,651,92,6673.29,5.69,26.15,2.77
CAMP_0103,2026-05-02,Meta,Tech Bros 25-34,Last Chance Alert,4424.56,19185,1034,123,17701.24,5.39,35.75,4.0
CAMP_0104,2026-05-16,LinkedIn,Soccer Moms 35-45,Summer Sale Push,3093.3,3820,12,0,7.53,0.33,10006.26,0.0
CAMP_0105,2026-04-15,LinkedIn,Tech Bros 25-34,Get Started Free,4931.79,18066,496,70,9755.11,2.75,69.91,1.98
CAMP_0106,2026-03-16,LinkedIn,Young Professionals 30-40,New Product Launch,3849.12,10466,704,77,5461.87,6.73,49.53,1.42
CAMP_0107,2026-04-11,Google,Retirees 55-65,Join Our Community,2058.56,4040,12,0,1.87,0.32,13457.97,0.0
CAMP_0108,2026-03-17,Google,Tech Bros 25-34,Black Friday Early,1244.81,8406,325,41,3539.22,3.87,29.89,2.84
CAMP_0109,2026-04-21,Google,Young Professionals 30-40,Summer Sale Push,1301.16,19532,564,51,3496.81,2.89,25.18,2.69
CAMP_0110,2026-03-21,Meta,Tech Bros 25-34,Black Friday Early,2420.55,17597,720,69,8113.47,4.1,34.68,3.35
CAMP_0111,2026-03-29,LinkedIn,Soccer Moms 35-45,Summer Sale Push,3989.87,3359,12,0,4.29,0.36,17663.36,0.0
CAMP_0112,2026-03-25,LinkedIn,College Students 18-24,Summer Sale Push,2004.63,8906,580,44,6312.35,6.52,44.7,3.15
CAMP_0113,2026-05-02,Meta,College Students 18-24,Limited Time Offer,4401.47,12895,684,51,4008.85,5.31,85.26,0.91
CAMP_0114,2026-05-08,Google,Tech Bros 25-34,Get Started Free,1303.45,15832,542,32,2664.99,3.43,40.05,2.04
CAMP_0115,2026-05-04,Google,Retirees 55-65,Premium Features,4749.84,3423,7,0,0.81,0.22,63413.1,0.0
CAMP_0116,2026-02-20,LinkedIn,Tech Bros 25-34,Black Friday Early,4316.58,9473,687,78,9694.7,7.26,54.92,2.25
CAMP_0117,2026-03-28,LinkedIn,Young Professionals 30-40,Premium Features,2011.4,17901,747,39,5384.85,4.18,50.34,2.68
CAMP_0118,2026-05-04,Google,Corporate Executives 40-55,New Product Launch,2462.57,11533,887,112,8138.43,7.69,21.97,3.3
CAMP_0119,2026-03-16,Google,Retirees 55-65,Black Friday Early,4099.35,4275,4,0,0.64,0.11,99469.01,0.0
CAMP_0120,2026-03-28,LinkedIn,Tech Bros 25-34,Join Our Community,3402.74,13060,364,51,6245.16,2.79,66.59,1.84
CAMP_0121,2026-05-06,LinkedIn,Corporate Executives 40-55,Limited Time Offer,2883.48,17780,886,50,4853.35,4.99,57.32,1.68
CAMP_0122,2026-04-13,LinkedIn,Young Professionals 30-40,VIP Membership,1130.08,11164,401,49,4087.75,3.6,22.83,3.62
CAMP_0123,2026-04-25,LinkedIn,Soccer Moms 35-45,Summer Sale Push,2384.47,3149,11,0,2.04,0.36,19458.86,0.0
CAMP_0124,2026-04-19,LinkedIn,Young Professionals 30-40,Premium Features,3969.44,8818,619,58,8264.89,7.02,68.39,2.08
CAMP_0125,2026-03-27,LinkedIn,Retirees 55-65,Join Our Community,2642.23,4991,19,0,3.69,0.38,8689.42,0.0
CAMP_0126,2026-03-17,LinkedIn,College Students 18-24,Exclusive Deal,3177.85,8617,428,47,4238.54,4.98,67.54,1.33
CAMP_0127,2026-03-30,Google,Young Professionals 30-40,New Product Launch,838.12,16738,832,98,9806.47,4.97,8.47,11.7
CAMP_0128,2026-04-04,LinkedIn,Retirees 55-65,Limited Time Offer,4097.37,5084,9,0,1.74,0.18,32026.83,0.0
CAMP_0129,2026-05-18,LinkedIn,Retirees 55-65,Summer Sale Push,1115.68,5850,13,0,1.64,0.23,10487.52,0.0
CAMP_0130,2026-03-06,LinkedIn,Young Professionals 30-40,Summer Sale Push,3464.53,16307,1157,86,9025.04,7.1,39.94,2.6
CAMP_0131,2026-05-15,LinkedIn,Soccer Moms 35-45,New Product Launch,4748.27,2118,8,0,4.18,0.41,19102.02,0.0
CAMP_0132,2026-05-17,Google,Soccer Moms 35-45,Black Friday Early,652.76,4092,11,0,8.33,0.29,1936.07,0.01
CAMP_0133,2026-04-20,Meta,Soccer Moms 35-45,Premium Features,4300.47,2957,13,0,2.99,0.45,30177.17,0.0
CAMP_0134,2026-02-23,Meta,Soccer Moms 35-45,Exclusive Deal,3633.3,3019,12,0,2.59,0.42,25492.49,0.0
CAMP_0135,2026-04-02,Meta,Corporate Executives 40-55,New Product Launch,3820.35,14242,649,89,8725.53,4.56,42.72,2.28
CAMP_0136,2026-03-20,Google,Corporate Executives 40-55,Black Friday Early,1334.63,12607,957,54,3321.81,7.6,24.45,2.49
CAMP_0137,2026-05-14,Google,Tech Bros 25-34,Get Started Free,2659.02,14969,543,48,3331.6,3.63,54.47,1.25
CAMP_0138,2026-03-16,Meta,Tech Bros 25-34,Summer Sale Push,997.13,12255,456,36,2944.23,3.72,27.44,2.95
CAMP_0139,2026-04-03,Meta,Young Professionals 30-40,New Product Launch,992.6,12699,348,50,6696.56,2.75,19.54,6.75
CAMP_0140,2026-03-11,Google,Corporate Executives 40-55,Last Chance Alert,2603.31,15360,461,68,5559.9,3.0,37.86,2.14
CAMP_0141,2026-02-22,Meta,Corporate Executives 40-55,Get Started Free,4237.89,9444,215,19,1206.02,2.28,222.45,0.28
CAMP_0142,2026-03-26,Google,Young Professionals 30-40,Get Started Free,3334.0,10595,541,59,6371.55,5.11,56.12,1.91
CAMP_0143,2026-05-03,Google,Soccer Moms 35-45,Summer Sale Push,1192.53,4447,11,0,3.51,0.27,6928.57,0.0
CAMP_0144,2026-05-06,Google,Young Professionals 30-40,Limited Time Offer,2558.44,12694,461,45,2886.18,3.64,56.73,1.13
CAMP_0145,2026-02-24,Google,Tech Bros 25-34,Last Chance Alert,4692.15,16822,620,46,2823.35,3.69,100.47,0.6
CAMP_0146,2026-04-05,Google,Soccer Moms 35-45,Join Our Community,4829.55,2328,10,0,5.08,0.47,14846.93,0.0
CAMP_0147,2026-02-25,Google,Young Professionals 30-40,Exclusive Deal,4211.06,12173,738,78,6615.63,6.07,53.49,1.57
CAMP_0148,2026-04-23,LinkedIn,College Students 18-24,Summer Sale Push,1208.03,9924,397,29,4218.57,4.0,41.15,3.49
CAMP_0149,2026-03-23,LinkedIn,Corporate Executives 40-55,Black Friday Early,4467.37,19535,936,129,7807.26,4.79,34.6,1.75
CAMP_0150,2026-03-04,LinkedIn,Young Professionals 30-40,Black Friday Early,1223.42,17815,1245,125,7602.82,6.99,9.75,6.21
CAMP_0151,2026-04-30,Google,Retirees 55-65,Summer Sale Push,3019.3,3347,7,0,0.67,0.21,82442.67,0.0
CAMP_0152,2026-03-13,LinkedIn,Corporate Executives 40-55,Black Friday Early,2935.7,19555,792,89,12910.95,4.05,32.72,4.4
CAMP_0153,2026-05-12,Google,College Students 18-24,Summer Sale Push,3969.43,16502,798,44,2974.26,4.84,89.05,0.75
CAMP_0154,2026-05-09,Google,Corporate Executives 40-55,Premium Features,3414.08,15132,650,36,4931.54,4.3,92.72,1.44
CAMP_0155,2026-03-30,LinkedIn,Retirees 55-65,VIP Membership,504.63,3476,8,0,1.77,0.24,3148.24,0.0
CAMP_0156,2026-04-16,LinkedIn,Young Professionals 30-40,Premium Features,4279.76,17273,583,36,5091.9,3.38,116.09,1.19
CAMP_0157,2026-03-29,Meta,Young Professionals 30-40,Get Started Free,3373.37,12771,465,69,6690.28,3.65,48.83,1.98
CAMP_0158,2026-05-02,LinkedIn,Soccer Moms 35-45,Exclusive Deal,640.1,3955,12,0,6.61,0.31,1909.86,0.01
CAMP_0159,2026-04-24,Google,Tech Bros 25-34,Summer Sale Push,910.24,9843,464,47,2950.72,4.72,19.0,3.24
CAMP_0160,2026-05-14,Meta,College Students 18-24,VIP Membership,3274.93,17558,858,52,3776.65,4.89,61.8,1.15
CAMP_0161,2026-04-24,Meta,Corporate Executives 40-55,New Product Launch,1223.71,15818,625,68,6753.02,3.96,17.94,5.52
CAMP_0162,2026-03-02,Meta,Tech Bros 25-34,Last Chance Alert,2590.69,16165,706,104,13028.79,4.37,24.85,5.03
CAMP_0163,2026-05-06,Meta,Tech Bros 25-34,Summer Sale Push,4786.92,18893,1198,149,10952.98,6.35,31.96,2.29
CAMP_0164,2026-02-21,Meta,Corporate Executives 40-55,Join Our Community,3281.7,16429,880,44,4010.91,5.36,73.13,1.22
CAMP_0165,2026-05-20,Meta,Tech Bros 25-34,New Product Launch,2077.82,8398,207,18,1339.39,2.47,111.61,0.64
CAMP_0166,2026-02-25,Google,Soccer Moms 35-45,Limited Time Offer,4196.48,2123,8,0,4.02,0.4,16970.37,0.0
